#  L TT            EE            BB            TE            PP            PT            PE           
  77 1.9456382e+03 4.0497234e-01 1.6019832e-03 -8.6562807e+00 1.1090202e-07 4.7557837e-04 -6.9033686e-07
  78 1.9703852e+03 4.1883312e-01 1.6438954e-03 -9.1587172e+00 1.1024574e-07 4.6891561e-04 -6.3355858e-07
  79 1.9953122e+03 4.3283488e-01 1.6863583e-03 -9.6703057e+00 1.0958973e-07 4.6237146e-04 -5.9619786e-07
  80 2.0204600e+03 4.4696766e-01 1.7293740e-03 -1.0191261e+01 1.0893376e-07 4.5591633e-04 -5.8337034e-07
  81 2.0458687e+03 4.6122121e-01 1.7729447e-03 -1.0721533e+01 1.0827773e-07 4.4952764e-04 -5.9819227e-07
  82 2.0715535e+03 4.7558556e-01 1.8170727e-03 -1.1260749e+01 1.0762214e-07 4.4321223e-04 -6.3579981e-07
  83 2.0974917e+03 4.9004896e-01 1.8617605e-03 -1.1808640e+01 1.0696762e-07 4.3698400e-04 -6.8933971e-07
  84 2.1236829e+03 5.0460039e-01 1.9070103e-03 -1.2364642e+01 1.0631476e-07 4.3085669e-04 -7.5196502e-07
  85 2.1501191e+03 5.1922811e-01 1.9528249e-03 -1.2928563e+01 1.0566425e-07 4.2484449e-04 -8.1683565e-07
  86 2.1767966e+03 5.3392260e-01 1.9992069e-03 -1.3499808e+01 1.0501652e-07 4.1895935e-04 -8.7813119e-07
  87 2.2036823e+03 5.4867134e-01 2.0461589e-03 -1.4077896e+01 1.0437168e-07 4.1320700e-04 -9.3409528e-07
  88 2.2307546e+03 5.6346257e-01 2.0936838e-03 -1.4662313e+01 1.0372964e-07 4.0759137e-04 -9.8398709e-07
  89 2.2580217e+03 5.7828452e-01 2.1417844e-03 -1.5252622e+01 1.0309036e-07 4.0211637e-04 -1.0270661e-06
  90 2.2854843e+03 5.9312097e-01 2.1904635e-03 -1.5848535e+01 1.0245377e-07 3.9678599e-04 -1.0625923e-06
  91 2.3131503e+03 6.0795952e-01 2.2397241e-03 -1.6449542e+01 1.0181984e-07 3.9160255e-04 -1.0900549e-06
  92 2.3410194e+03 6.2278604e-01 2.2895692e-03 -1.7055440e+01 1.0118859e-07 3.8656193e-04 -1.1098588e-06
  93 2.3691062e+03 6.3758648e-01 2.3400018e-03 -1.7665732e+01 1.0056010e-07 3.8165862e-04 -1.1226379e-06
  94 2.3974029e+03 6.5234904e-01 2.3910250e-03 -1.8280215e+01 9.9934455e-08 3.7688704e-04 -1.1290255e-06
  95 2.4259238e+03 6.6705896e-01 2.4426418e-03 -1.8898392e+01 9.9311674e-08 3.7224144e-04 -1.1296533e-06
  96 2.4546612e+03 6.8170294e-01 2.4948553e-03 -1.9519840e+01 9.8691865e-08 3.6771639e-04 -1.1251539e-06
  97 2.4836148e+03 6.9626696e-01 2.5476688e-03 -2.0144135e+01 9.8075087e-08 3.6330629e-04 -1.1161586e-06
  98 2.5127915e+03 7.1073626e-01 2.6010853e-03 -2.0770853e+01 9.7461397e-08 3.5900555e-04 -1.1032981e-06
  99 2.5421686e+03 7.2509756e-01 2.6551082e-03 -2.1399498e+01 9.6850868e-08 3.5480857e-04 -1.0872028e-06
 100 2.5717607e+03 7.3933980e-01 2.7097406e-03 -2.2029570e+01 9.6243581e-08 3.5070989e-04 -1.0685030e-06
 101 2.6015600e+03 7.5344899e-01 2.7649858e-03 -2.2660572e+01 9.5639597e-08 3.4670395e-04 -1.0478282e-06
 102 2.6315660e+03 7.6740367e-01 2.8208471e-03 -2.3292229e+01 9.5038964e-08 3.4278508e-04 -1.0258072e-06
 103 2.6617635e+03 7.8120468e-01 2.8773278e-03 -2.3923747e+01 9.4441812e-08 3.3894800e-04 -1.0030695e-06
 104 2.6921522e+03 7.9482317e-01 2.9344314e-03 -2.4554777e+01 9.3848167e-08 3.3518696e-04 -9.8024283e-07
 105 2.7227243e+03 8.0825255e-01 2.9921611e-03 -2.5184746e+01 9.3258113e-08 3.3149662e-04 -9.5795584e-07
 106 2.7534718e+03 8.2147883e-01 3.0505206e-03 -2.5813009e+01 9.2671722e-08 3.2787135e-04 -9.3683599e-07
 107 2.7843872e+03 8.3449541e-01 3.1095134e-03 -2.6439143e+01 9.2089069e-08 3.2430566e-04 -9.1751072e-07
 108 2.8154550e+03 8.4728089e-01 3.1691429e-03 -2.7062576e+01 9.1510236e-08 3.2079415e-04 -9.0060747e-07
 109 2.8466824e+03 8.5982868e-01 3.2294129e-03 -2.7682661e+01 9.0935318e-08 3.1733131e-04 -8.8675307e-07
 110 2.8780542e+03 8.7211737e-01 3.2903270e-03 -2.8298977e+01 9.0364347e-08 3.1391160e-04 -8.7657400e-07
 111 2.9095626e+03 8.8414031e-01 3.3518890e-03 -2.8911026e+01 8.9797424e-08 3.1053052e-04 -8.7053735e-07
 112 2.9412078e+03 8.9589061e-01 3.4141029e-03 -2.9518092e+01 8.9234527e-08 3.0718759e-04 -8.6847354e-07
 113 2.9729827e+03 9.0734642e-01 3.4769725e-03 -3.0119832e+01 8.8675652e-08 3.0388327e-04 -8.7005373e-07
 114 3.0048801e+03 9.1849334e-01 3.5405019e-03 -3.0715605e+01 8.8120796e-08 3.0061807e-04 -8.7494952e-07
 115 3.0368929e+03 9.2933182e-01 3.6046952e-03 -3.1304919e+01 8.7569944e-08 2.9739236e-04 -8.8283227e-07
 116 3.0690213e+03 9.3984746e-01 3.6695568e-03 -3.1887280e+01 8.7023103e-08 2.9420667e-04 -8.9337394e-07
 117 3.1012583e+03 9.5001843e-01 3.7350909e-03 -3.2462124e+01 8.6480238e-08 2.9106144e-04 -9.0624645e-07
 118 3.1335892e+03 9.5984520e-01 3.8013020e-03 -3.3028883e+01 8.5941325e-08 2.8795717e-04 -9.2112201e-07
 119 3.1660143e+03 9.6931338e-01 3.8681947e-03 -3.3587140e+01 8.5406403e-08 2.8489431e-04 -9.3767288e-07
 120 3.1985264e+03 9.7841599e-01 3.9357738e-03 -3.4136328e+01 8.4875427e-08 2.8187334e-04 -9.5557158e-07
 121 3.2311185e+03 9.8713865e-01 4.0040440e-03 -3.4675882e+01 8.4348396e-08 2.7889471e-04 -9.7449067e-07
 122 3.2637760e+03 9.9547441e-01 4.0730104e-03 -3.5205384e+01 8.3825325e-08 2.7595899e-04 -9.9410320e-07
 123 3.2964990e+03 1.0034163e+00 4.1426780e-03 -3.5724268e+01 8.3306172e-08 2.7306656e-04 -1.0140818e-06
 124 3.3292806e+03 1.0109499e+00 4.2130521e-03 -3.6231968e+01 8.2790966e-08 2.7021792e-04 -1.0340995e-06
 125 3.3621060e+03 1.0180758e+00 4.2841380e-03 -3.6728067e+01 8.2279673e-08 2.6741361e-04 -1.0538297e-06
 126 3.3949757e+03 1.0247795e+00 4.3559411e-03 -3.7212074e+01 8.1772283e-08 2.6465400e-04 -1.0729454e-06
 127 3.4278749e+03 1.0310616e+00 4.4284671e-03 -3.7683422e+01 8.1268821e-08 2.6193968e-04 -1.0911203e-06
 128 3.4607966e+03 1.0369076e+00 4.5017218e-03 -3.8141695e+01 8.0769257e-08 2.5927108e-04 -1.1080278e-06
 129 3.4937411e+03 1.0423180e+00 4.5757108e-03 -3.8586402e+01 8.0273589e-08 2.5664868e-04 -1.1233415e-06
 130 3.5266937e+03 1.0472785e+00 4.6504402e-03 -3.9016976e+01 7.9781816e-08 2.5407299e-04 -1.1367352e-06
 131 3.5596401e+03 1.0517895e+00 4.7259159e-03 -3.9433002e+01 7.9293923e-08 2.5154416e-04 -1.1479534e-06
 132 3.5925890e+03 1.0558511e+00 4.8021442e-03 -3.9833985e+01 7.8809894e-08 2.4906120e-04 -1.1570239e-06
 133 3.6255194e+03 1.0594484e+00 4.8791312e-03 -4.0219506e+01 7.8329712e-08 2.4662288e-04 -1.1640456e-06
 134 3.6584329e+03 1.0625963e+00 4.9568831e-03 -4.0588997e+01 7.7853366e-08 2.4422785e-04 -1.1691167e-06
 135 3.6913159e+03 1.0652726e+00 5.0354063e-03 -4.0942188e+01 7.7380802e-08 2.4187480e-04 -1.1723355e-06
 136 3.7241700e+03 1.0674848e+00 5.1147072e-03 -4.1278437e+01 7.6912029e-08 2.3956249e-04 -1.1738008e-06
 137 3.7569816e+03 1.0692254e+00 5.1947921e-03 -4.1597324e+01 7.6447011e-08 2.3728963e-04 -1.1736108e-06
 138 3.7897449e+03 1.0705019e+00 5.2756675e-03 -4.1898504e+01 7.5985720e-08 2.3505488e-04 -1.1718637e-06
 139 3.8224463e+03 1.0713070e+00 5.3573397e-03 -4.2181560e+01 7.5528167e-08 2.3285705e-04 -1.1686581e-06
 140 3.8550946e+03 1.0716405e+00 5.4398151e-03 -4.2446071e+01 7.5074305e-08 2.3069475e-04 -1.1640919e-06
 141 3.8876692e+03 1.0715175e+00 5.5231002e-03 -4.2691694e+01 7.4624117e-08 2.2856674e-04 -1.1582634e-06
 142 3.9201639e+03 1.0709232e+00 5.6072010e-03 -4.2917936e+01 7.4177586e-08 2.2647175e-04 -1.1512708e-06
 143 3.9525802e+03 1.0698649e+00 5.6921239e-03 -4.3124525e+01 7.3734694e-08 2.2440851e-04 -1.1432123e-06
 144 3.9848972e+03 1.0683501e+00 5.7778750e-03 -4.3311045e+01 7.3295414e-08 2.2237567e-04 -1.1341859e-06
 145 4.0171164e+03 1.0663715e+00 5.8644603e-03 -4.3477002e+01 7.2859730e-08 2.2037199e-04 -1.1242895e-06
 146 4.0492095e+03 1.0639440e+00 5.9518856e-03 -4.3622200e+01 7.2427641e-08 2.1839624e-04 -1.1136216e-06
 147 4.0811704e+03 1.0610749e+00 6.0401565e-03 -4.3746073e+01 7.1999095e-08 2.1644710e-04 -1.1022800e-06
 148 4.1129858e+03 1.0577644e+00 6.1292788e-03 -4.3848351e+01 7.1574109e-08 2.1452329e-04 -1.0903626e-06
 149 4.1446423e+03 1.0540199e+00 6.2192576e-03 -4.3928615e+01 7.1152624e-08 2.1262351e-04 -1.0779672e-06
 150 4.1761263e+03 1.0498489e+00 6.3100981e-03 -4.3986448e+01 7.0734656e-08 2.1074655e-04 -1.0651921e-06
 151 4.2074168e+03 1.0452587e+00 6.4018052e-03 -4.4021577e+01 7.0320170e-08 2.0889124e-04 -1.0521217e-06
 152 4.2385210e+03 1.0402558e+00 6.4943836e-03 -4.4033711e+01 6.9909123e-08 2.0705714e-04 -1.0387880e-06
 153 4.2694233e+03 1.0348542e+00 6.5878375e-03 -4.4022560e+01 6.9501522e-08 2.0524408e-04 -1.0252102e-06
 154 4.3001234e+03 1.0290678e+00 6.6821710e-03 -4.3987977e+01 6.9097298e-08 2.0345168e-04 -1.0114068e-06
 155 4.3306131e+03 1.0228956e+00 6.7773880e-03 -4.3929598e+01 6.8696458e-08 2.0167980e-04 -9.9739696e-07
 156 4.3608993e+03 1.0163590e+00 6.8734919e-03 -4.3847278e+01 6.8298957e-08 1.9992811e-04 -9.8319931e-07
 157 4.3909592e+03 1.0094569e+00 6.9704858e-03 -4.3740724e+01 6.7904771e-08 1.9819637e-04 -9.6883281e-07
 158 4.4207997e+03 1.0022182e+00 7.0683725e-03 -4.3609719e+01 6.7513855e-08 1.9648429e-04 -9.5431607e-07
 159 4.4504054e+03 9.9464179e-01 7.1671544e-03 -4.3454043e+01 6.7126222e-08 1.9479170e-04 -9.3966840e-07
 160 4.4797683e+03 9.8674905e-01 7.2668335e-03 -4.3273555e+01 6.6741800e-08 1.9311823e-04 -9.2490809e-07
 161 4.5088656e+03 9.7855383e-01 7.3674115e-03 -4.3067960e+01 6.6360575e-08 1.9146370e-04 -9.1005431e-07
 162 4.5376892e+03 9.7007002e-01 7.4688898e-03 -4.2837191e+01 6.5982539e-08 1.8982785e-04 -8.9512589e-07
 163 4.5662313e+03 9.6132635e-01 7.5712691e-03 -4.2580879e+01 6.5607633e-08 1.8821037e-04 -8.8014135e-07
 164 4.5944690e+03 9.5232183e-01 7.6745500e-03 -4.2299031e+01 6.5235846e-08 1.8661106e-04 -8.6511983e-07
 165 4.6224018e+03 9.4307776e-01 7.7787326e-03 -4.1991355e+01 6.4867152e-08 1.8502963e-04 -8.5007996e-07
 166 4.6500143e+03 9.3361542e-01 7.8838165e-03 -4.1657780e+01 6.4501524e-08 1.8346587e-04 -8.3504075e-07
 167 4.6772986e+03 9.2395610e-01 7.9898010e-03 -4.1298163e+01 6.4138929e-08 1.8191946e-04 -8.2002072e-07
 168 4.7042466e+03 9.1412108e-01 8.0966850e-03 -4.0912585e+01 6.3779340e-08 1.8039019e-04 -8.0503889e-07
 169 4.7308505e+03 9.0413164e-01 8.2044670e-03 -4.0500900e+01 6.3422745e-08 1.7887783e-04 -7.9011416e-07
 170 4.7571023e+03 8.9400163e-01 8.3131449e-03 -4.0063041e+01 6.3069089e-08 1.7738204e-04 -7.7526496e-07
 171 4.7829866e+03 8.8375975e-01 8.4227166e-03 -3.9598937e+01 6.2718361e-08 1.7590261e-04 -7.6051028e-07
 172 4.8085104e+03 8.7342725e-01 8.5331792e-03 -3.9108594e+01 6.2370541e-08 1.7443934e-04 -7.4586910e-07
 173 4.8336509e+03 8.6302540e-01 8.6445297e-03 -3.8591944e+01 6.2025582e-08 1.7299190e-04 -7.3135995e-07
 174 4.8584000e+03 8.5257545e-01 8.7567646e-03 -3.8048990e+01 6.1683472e-08 1.7156005e-04 -7.1700164e-07
 175 4.8827574e+03 8.4211351e-01 8.8698799e-03 -3.7479887e+01 6.1344191e-08 1.7014357e-04 -7.0281312e-07
 176 4.9067079e+03 8.3165325e-01 8.9838716e-03 -3.6884563e+01 6.1007701e-08 1.6874219e-04 -6.8880818e-07
 177 4.9302449e+03 8.2123012e-01 9.0987349e-03 -3.6263016e+01 6.0673962e-08 1.6735560e-04 -6.7498085e-07
 178 4.9533545e+03 8.1086455e-01 9.2144651e-03 -3.5615313e+01 6.0342979e-08 1.6598362e-04 -6.6132065e-07
 179 4.9760377e+03 8.0057698e-01 9.3310569e-03 -3.4941448e+01 6.0014715e-08 1.6462592e-04 -6.4781670e-07
 180 4.9982881e+03 7.9040269e-01 9.4485047e-03 -3.4241566e+01 5.9689130e-08 1.6328223e-04 -6.3445821e-07
 181 5.0200920e+03 7.8036953e-01 9.5668028e-03 -3.3515808e+01 5.9366229e-08 1.6195236e-04 -6.2123477e-07
 182 5.0414503e+03 7.7050534e-01 9.6859449e-03 -3.2764242e+01 5.9045961e-08 1.6063595e-04 -6.0813530e-07
 183 5.0623567e+03 7.6083053e-01 9.8059246e-03 -3.1987013e+01 5.8728316e-08 1.5933280e-04 -5.9514930e-07
 184 5.0827973e+03 7.5138036e-01 9.9267353e-03 -3.1184337e+01 5.8413276e-08 1.5804264e-04 -5.8226607e-07
 185 5.1027732e+03 7.4219007e-01 1.0048370e-02 -3.0356134e+01 5.8100805e-08 1.5676519e-04 -5.6947484e-07
 186 5.1222704e+03 7.3328006e-01 1.0170822e-02 -2.9502769e+01 5.7790871e-08 1.5550017e-04 -5.5676483e-07
 187 5.1412902e+03 7.2467887e-01 1.0294082e-02 -2.8624311e+01 5.7483472e-08 1.5424734e-04 -5.4412542e-07
 188 5.1598260e+03 7.1642470e-01 1.0418145e-02 -2.7721052e+01 5.7178557e-08 1.5300642e-04 -5.3154591e-07
 189 5.1778640e+03 7.0854682e-01 1.0543002e-02 -2.6793133e+01 5.6876129e-08 1.5177717e-04 -5.1901560e-07
 190 5.1954054e+03 7.0107749e-01 1.0668644e-02 -2.5840846e+01 5.6576151e-08 1.5055932e-04 -5.0652387e-07
 191 5.2124436e+03 6.9404670e-01 1.0795065e-02 -2.4864483e+01 5.6278586e-08 1.4935256e-04 -4.9405978e-07
 192 5.2289648e+03 6.8748742e-01 1.0922254e-02 -2.3864111e+01 5.5983444e-08 1.4815671e-04 -4.8161295e-07
 193 5.2449628e+03 6.8143112e-01 1.1050204e-02 -2.2840022e+01 5.5690655e-08 1.4697141e-04 -4.6917239e-07
 194 5.2604459e+03 6.7591150e-01 1.1178907e-02 -2.1792655e+01 5.5400236e-08 1.4579649e-04 -4.5672771e-07
 195 5.2754003e+03 6.7096225e-01 1.1308352e-02 -2.0722226e+01 5.5112155e-08 1.4463165e-04 -4.4426806e-07
 196 5.2898270e+03 6.6661702e-01 1.1438531e-02 -1.9629176e+01 5.4826357e-08 1.4347658e-04 -4.3178271e-07
 197 5.3037271e+03 6.6291099e-01 1.1569434e-02 -1.8513795e+01 5.4542857e-08 1.4233110e-04 -4.1926113e-07
 198 5.3171016e+03 6.5987781e-01 1.1701053e-02 -1.7376448e+01 5.4261613e-08 1.4119490e-04 -4.0669255e-07
 199 5.3299292e+03 6.5755113e-01 1.1833377e-02 -1.6217426e+01 5.3982601e-08 1.4006770e-04 -3.9406624e-07
 200 5.3422259e+03 6.5596459e-01 1.1966398e-02 -1.5037242e+01 5.3705798e-08 1.3894928e-04 -3.8137163e-07
 201 5.3539776e+03 6.5515412e-01 1.2100104e-02 -1.3836108e+01 5.3431181e-08 1.3783938e-04 -3.6860029e-07
 202 5.3651769e+03 6.5515363e-01 1.2234486e-02 -1.2614590e+01 5.3158744e-08 1.3673794e-04 -3.5575300e-07
 203 5.3758016e+03 6.5599861e-01 1.2369535e-02 -1.1372877e+01 5.2888444e-08 1.3564486e-04 -3.4283270e-07
 204 5.3858588e+03 6.5772378e-01 1.2505239e-02 -1.0111456e+01 5.2620289e-08 1.3456012e-04 -3.2984250e-07
